 INFO  Accepting connections at http://localhost:3000
 HTTP  7/31/2026 9:14:33 PM 192.168.1.185 GET /
 HTTP  7/31/2026 9:14:33 PM 192.168.1.185 Returned 200 in 412 ms
 HTTP  7/31/2026 9:14:34 PM 192.168.1.185 GET /assets/index-hZeGMjxB.css
 HTTP  7/31/2026 9:14:34 PM 192.168.1.185 GET /assets/index-B9nHBPDu.js
 HTTP  7/31/2026 9:14:34 PM 192.168.1.185 Returned 200 in 42 ms
 HTTP  7/31/2026 9:14:34 PM 192.168.1.185 Returned 200 in 68 ms
 HTTP  7/31/2026 9:14:34 PM 192.168.1.185 GET /favicon.svg
 HTTP  7/31/2026 9:14:34 PM 192.168.1.185 Returned 200 in 27 ms
 HTTP  7/31/2026 9:14:37 PM ::1 GET /
 HTTP  7/31/2026 9:14:37 PM ::1 Returned 200 in 17 ms
 HTTP  7/31/2026 9:14:38 PM ::1 GET /assets/index-B9nHBPDu.js
 HTTP  7/31/2026 9:14:38 PM ::1 Returned 304 in 19 ms
 HTTP  7/31/2026 9:14:38 PM ::1 GET /assets/index-hZeGMjxB.css
 HTTP  7/31/2026 9:14:38 PM ::1 Returned 304 in 16 ms
 HTTP  7/31/2026 9:14:38 PM ::1 GET /favicon.svg
 HTTP  7/31/2026 9:14:38 PM ::1 Returned 200 in 16 ms
 HTTP  7/31/2026 9:14:39 PM ::1 GET /
 HTTP  7/31/2026 9:14:39 PM ::1 Returned 200 in 32 ms
